Dataset,Categoria,Valor,Unidade
Tempo por faixa etária,13–17,112,Minutos por dia
Tempo por faixa etária,18–24,95,Minutos por dia
Tempo por faixa etária,25–34,76,Minutos por dia
Tempo por faixa etária,35–44,58,Minutos por dia
Tempo por faixa etária,45+,39,Minutos por dia
Tipos de conteúdo,Humor,28,Porcentagem
Tipos de conteúdo,Dança/Música,20,Porcentagem
Tipos de conteúdo,Games,15,Porcentagem
Tipos de conteúdo,Beleza,12,Porcentagem
Tipos de conteúdo,Educação,10,Porcentagem
Tipos de conteúdo,Culinária,8,Porcentagem
Tipos de conteúdo,Outros,7,Porcentagem
Crescimento de usuários,2020,689,Usuários (milhões)
Crescimento de usuários,2021,902,Usuários (milhões)
Crescimento de usuários,2022,1051,Usuários (milhões)
Crescimento de usuários,2023,1230,Usuários (milhões)
Crescimento de usuários,2024,1560,Usuários (milhões)
Tempo por aplicativo,TikTok,95,Minutos/dia
Tempo por aplicativo,Instagram,62,Minutos/dia
Tempo por aplicativo,YouTube,74,Minutos/dia
Tempo por aplicativo,X,31,Minutos/dia
Tempo por aplicativo,Facebook,42,Minutos/dia
Motivos de uso,Entretenimento,45,Porcentagem
Motivos de uso,Passar o tempo,24,Porcentagem
Motivos de uso,Ver tendências,14,Porcentagem
Motivos de uso,Aprender coisas novas,10,Porcentagem
Motivos de uso,Criar vídeos,7,Porcentagem
